model_id	host_strain_name	host_strain_nomenclature	engraftment_site	engraftment_type	sample_type	sample_state	passage_number	publications	Provider
HCI-001	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	cleared mammary fat pad	Not provided	solid	Not provided	0	"PMID: 22019887, PMID: 35221336"	HCI-BCM
HCI-001	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	cleared mammary fat pad	Not provided	solid	Not provided	0	"PMID: 22019887, PMID: 35221336"	HCI-BCM
HCI-002	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	cleared mammary fat pad	Not provided	solid	Not provided	0	"PMID: 22019887, PMID: 35221336"	HCI-BCM
HCI-002	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	cleared mammary fat pad	Not provided	solid	Not provided	0	"PMID: 22019887, PMID: 35221336"	HCI-BCM
HCI-003	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	cleared mammary fat pad	Not provided	solid	Not provided	0	"PMID: 22019887, PMID: 35221336"	HCI-BCM
HCI-003	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	cleared mammary fat pad	Not provided	solid	Not provided	0	"PMID: 22019887, PMID: 35221336"	HCI-BCM
HCI-004	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	cleared mammary fat pad	Not provided	solid	Not provided	0	"PMID: 22019887, PMID: 35221336"	HCI-BCM
HCI-004	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	cleared mammary fat pad	Not provided	solid	Not provided	0	"PMID: 22019887, PMID: 35221336"	HCI-BCM
HCI-005	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	cleared mammary fat pad	Not provided	suspension in matrigel	Not provided	0	"PMID: 22019887, PMID: 35221336"	HCI-BCM
HCI-005	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	cleared mammary fat pad	Not provided	suspension in matrigel	Not provided	0	"PMID: 22019887, PMID: 35221336"	HCI-BCM
HCI-006	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	cleared mammary fat pad	Not provided	suspension in matrigel	Not provided	0	"PMID: 22019887, PMID: 35221336"	HCI-BCM
HCI-006	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	cleared mammary fat pad	Not provided	suspension in matrigel	Not provided	0	"PMID: 22019887, PMID: 35221336"	HCI-BCM
HCI-007	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	cleared mammary fat pad	Not provided	suspension in matrigel	Not provided	0	"PMID: 22019887, PMID: 35221336"	HCI-BCM
HCI-007	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	cleared mammary fat pad	Not provided	suspension in matrigel	Not provided	0	"PMID: 22019887, PMID: 35221336"	HCI-BCM
HCI-008	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	cleared mammary fat pad	Not provided	suspension in matrigel	Not provided	0	"PMID: 22019887, PMID: 35221336"	HCI-BCM
HCI-009	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	cleared mammary fat pad	Not provided	suspension in matrigel	Not provided	0	"PMID: 22019887, PMID: 35221336"	HCI-BCM
HCI-009	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	cleared mammary fat pad	Not provided	suspension in matrigel	Not provided	0	"PMID: 22019887, PMID: 35221336"	HCI-BCM
HCI-010	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	cleared mammary fat pad	Not provided	suspension in matrigel	Not provided	0	"PMID: 22019887, PMID: 35221336"	HCI-BCM
HCI-010	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	cleared mammary fat pad	Not provided	suspension in matrigel	Not provided	0	"PMID: 22019887, PMID: 35221336"	HCI-BCM
HCI-011	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	cleared mammary fat pad	Not provided	suspension in matrigel	Not provided	0	"PMID: 22019887, PMID: 35221336"	HCI-BCM
HCI-011	NOD scid	NOD.CB17-Prkdc<sup>scid</sup>/J	cleared mammary fat pad	Not provided	suspension in matrigel	Not provided	0	"PMID: 22019887, PMID: 35221336"	HCI-BCM
